t(s) , h(t)(dm)
107.500000 , 0.128189
107.600000 , 0.128195
107.700000 , 0.128201
107.800000 , 0.128207
107.900000 , 0.128212
108.000000 , 0.128218
108.100000 , 0.128224
108.200000 , 0.128229
108.300000 , 0.128235
108.400000 , 0.128241
108.500000 , 0.128246
108.600000 , 0.128252
108.700000 , 0.128257
108.800000 , 0.128263
108.900000 , 0.128269
109.000000 , 0.128274
109.100000 , 0.128279
109.200000 , 0.128285
109.300000 , 0.128290
109.400000 , 0.128296
109.500000 , 0.128301
109.600000 , 0.128307
109.700000 , 0.128312
109.800000 , 0.128317
109.900000 , 0.128323
110.000000 , 0.128328
110.100000 , 0.128333
110.200000 , 0.128338
110.300000 , 0.128344
110.400000 , 0.128349
110.500000 , 0.128354
110.600000 , 0.128359
110.700000 , 0.128364
110.800000 , 0.128369
110.900000 , 0.128375
111.000000 , 0.128380
111.100000 , 0.128385
111.200000 , 0.128390
111.300000 , 0.128395
111.400000 , 0.128400
111.500000 , 0.128405
111.600000 , 0.128410
111.700000 , 0.128415
111.800000 , 0.128420
111.900000 , 0.128425
112.000000 , 0.128429
112.100000 , 0.128434
112.200000 , 0.128439
112.300000 , 0.128444
112.400000 , 0.128449
112.500000 , 0.128454
112.600000 , 0.128458
112.700000 , 0.128463
112.800000 , 0.128468
112.900000 , 0.128473
113.000000 , 0.128477
113.100000 , 0.128482
113.200000 , 0.128487
113.300000 , 0.128491
113.400000 , 0.128496
113.500000 , 0.128501
113.600000 , 0.128505
113.700000 , 0.128510
113.800000 , 0.128514
113.900000 , 0.128519
114.000000 , 0.128523
114.100000 , 0.128528
114.200000 , 0.128532
114.300000 , 0.128537
114.400000 , 0.128541
114.500000 , 0.128546
114.600000 , 0.128550
114.700000 , 0.128555
114.800000 , 0.128559
114.900000 , 0.128563
115.000000 , 0.128568
115.100000 , 0.128572
115.200000 , 0.128576
115.300000 , 0.128581
115.400000 , 0.128585
115.500000 , 0.128589
115.600000 , 0.128594
115.700000 , 0.128598
115.800000 , 0.128602
115.900000 , 0.128606
116.000000 , 0.128610
