X,Vc
93.6,4.999549
93.7,4.999553
93.8,4.999558
93.9,4.999562
94,4.999567
94.1,4.999571
94.2,4.999575
94.3,4.999579
94.4,4.999584
94.5,4.999588
94.6,4.999592
94.7,4.999596
94.8,4.9996
94.9,4.999604
95,4.999608
95.1,4.999612
95.2,4.999615
95.3,4.999619
95.4,4.999623
95.5,4.999627
95.6,4.99963
95.7,4.999634
95.8,4.999638
95.9,4.999641
96,4.999645
96.1,4.999648
96.2,4.999652
96.3,4.999655
96.4,4.999659
96.5,4.999662
96.6,4.999665
96.7,4.999669
96.8,4.999672
96.9,4.999675
97,4.999678
97.1,4.999682
97.2,4.999685
97.3,4.999688
97.4,4.999691
97.5,4.999694
97.6,4.999697
97.7,4.9997
97.8,4.999703
97.9,4.999706
98,4.999709
98.1,4.999712
98.2,4.999715
98.3,4.999717
98.4,4.99972
98.5,4.999723
98.6,4.999726
98.7,4.999728
98.8,4.999731
98.9,4.999734
99,4.999736
99.1,4.999739
99.2,4.999742
99.3,4.999744
99.4,4.999747
99.5,4.999749
99.6,4.999752
99.7,4.999754
99.8,4.999757
99.9,4.999759
100,4.999761
